CMNP,1225,1245,1245,1215,1235,10
CMPP,186,185,187,184,185,1
CNKO,50,50,50,50,50,0
CNTB,250,250,250,250,250,0
CNTX,464,390,390,390,390,74
COCO,930,925,930,925,925,5
COWL,208,210,228,206,212,4
CPIN,4580,4540,4740,4540,4730,150
CPRI,72,62,73,62,71,1
CPRO,50,50,50,50,50,0
CSAP,575,575,575,575,575,0
CSIS,82,75,84,75,82,0
CTBN,4300,4300,4300,4300,4300,0
CTRA,930,940,975,930,950,20
CTTH,106,100,109,100,106,0
DART,372,372,372,372,372,0
DAYA,210,210,210,210,210,0
DEAL,700,700,720,695,705,5
DEFI,1730,1735,1790,1735,1790,60
DEWA,50,50,50,50,50,0
DFAM,795,795,800,780,795,0
DGIK,50,50,50,50,50,0
DIGI,1700,1700,1700,1675,1700,0
DILD,320,320,326,320,324,4
DIVA,2930,2910,2930,2910,2930,0
DKFT,182,189,197,183,185,3
DLTA,7200,7000,7150,7000,7150,50
DMAS,246,246,246,240,240,6
DNAR,282,282,300,274,274,8
DNET,3180,3130,3170,3130,3170,10
DOID,525,510,525,510,515,10
DPNS,302,302,306,302,306,4
DPUM,125,130,135,126,126,1
DSFI,113,113,113,109,112,1
DSNG,376,376,376,374,374,2
DSSA,14500,14500,14500,14500,14500,0
DUCK,1450,1435,1450,1435,1450,0
DUTI,3770,3770,3770,3770,3770,0
DVLA,2320,2380,2500,2310,2450,130
DWGL,99,99,99,97,98,1
DYAN,114,104,116,104,115,1
ECII,1100,1100,1100,1100,1100,0
EKAD,850,835,835,795,835,15
ELSA,350,350,354,346,350,0
ELTY,50,50,50,50,50,0
EMDE,246,246,246,244,246,0
EMTK,8000,7900,7900,7900,7900,100
ENRG,54,54,56,54,55,1
EPMT,2420,2420,2420,2420,2420,0
ERAA,1095,1090,1155,1090,1150,55
ERTX,125,111,120,111,120,5
ESSA,310,310,320,308,314,4
ESTI,93,93,94,92,93,0
ETWA,64,64,64,64,64,0
EXCL,2790,2790,2920,2790,2900,110
FAST,2180,2180,2180,2170,2170,10
FASW,8400,8650,8700,8400,8500,100
FILM,1065,1075,1090,1050,1050,15
FINN,50,50,50,50,50,0
FIRE,8450,8400,8400,7525,7600,850
FISH,2900,2900,2950,2900,2950,50
FMII,695,695,695,695,695,0
FOOD,162,162,162,160,162,0
FORU,100,101,101,101,101,1
FORZ,855,850,865,845,860,5
FPNI,140,140,141,138,141,1
FREN,280,280,290,280,286,6
GAMA,50,50,50,50,50,0
GDST,87,89,89,86,87,0
GDYR,1910,1910,1910,1910,1910,0
GEMA,332,320,348,320,330,2
GEMS,2550,2550,2550,2550,2550,0
GGRM,76800,78000,80200,78000,80125,3325
GHON,1315,1320,1320,1255,1255,60
GIAA,454,448,450,436,444,10
GJTL,655,650,670,645,665,10
GLOB,328,328,328,328,328,0
GMCW,860,860,860,860,860,0
GMFI,216,216,218,214,218,2
GMTD,19700,19700,19700,19700,19700,0
GOLD,442,444,500,442,482,40
GOLL,50,50,50,50,50,0
GOOD,1595,1595,1625,1595,1620,25
GPRA,95,95,95,95,95,0
GREN,328,328,328,328,328,0
GSMF,109,110,110,105,109,0
GTBO,142,147,148,143,144,2
GWSA,185,193,193,186,193,8
GZCO,51,50,51,50,51,0
HADE,50,50,50,50,50,0
HDFA,125,125,145,123,134,9
HDTX,120,120,120,120,120,0
HEAL,3490,3510,3520,3490,3490,0
HELI,185,185,195,181,191,6
HERO,900,980,980,970,970,70
HEXA,3040,3050,3100,3050,3100,60
HITS,680,680,680,680,680,0
HKMU,342,342,344,338,342,0
HMSP,3230,3250,3300,3230,3300,70
HOKI,700,700,710,695,710,10
HOME,95,95,99,95,99,4
HOTL,175,177,185,171,185,10
HRME,272,272,302,268,280,8
HRTA,248,248,252,244,244,4
HRUM,1430,1430,1440,1400,1435,5
IATA,50,50,50,50,50,0
IBFN,220,220,220,220,220,0
IBST,8300,8300,8300,8300,8300,0
ICBP,9725,9725,9725,9575,9725,0
ICON,99,99,100,99,100,1
IDPR,414,410,410,404,406,8
IGAR,370,370,372,368,372,2
IIKP,63,63,64,61,63,0
IKAI,149,145,152,145,152,3
IKBI,260,260,260,260,260,0
IMAS,2730,2730,2730,2700,2710,20
IMJS,545,545,550,540,545,0
IMPC,930,930,940,930,940,10
INAF,3500,3530,3590,3400,3530,30
INAI,438,438,440,436,438,0
INCF,232,240,256,228,228,4
INCI,488,488,488,488,488,0
INCO,2700,2700,2730,2660,2680,20
INDF,6400,6450,6525,6275,6350,50
INDR,5175,5175,5175,5000,5075,100
INDS,2280,2280,2470,2280,2340,60
INDX,64,64,68,61,62,2
INDY,1440,1420,1465,1400,1405,35
INKP,6925,6925,7375,6750,7150,225
INPC,71,71,71,69,71,0
INPP,780,780,780,780,780,0
INPS,3060,3080,3080,3080,3080,20
INRU,600,600,600,600,600,0
INTA,480,480,480,478,480,0
INTD,150,170,170,170,170,20
INTP,20325,20475,20525,19850,20250,75
INVESTOR33,439,439,447,442,446,7
IPCC,1275,1275,1275,1270,1270,5
IPCM,268,276,276,270,270,2
IPOL,94,98,98,94,96,2
ISAT,1975,1975,2020,1975,1995,20
ISSP,96,96,98,95,96,0
ITMA,710,710,800,710,800,90
ITMG,17000,16925,17300,16925,17250,250
ITTG,82,82,82,82,82,0
JAST,520,530,570,525,525,5
JAWA,124,118,124,106,106,18
JAYA,131,140,140,128,130,1
JECC,6150,6875,6875,6875,6875,725
JGLE,50,50,50,50,50,0
JIHD,450,488,488,488,488,38
JKON,458,458,458,458,458,0
JKSW,60,60,60,60,60,0
JMAS,840,840,840,840,840,0
JPFA,1475,1475,1505,1470,1500,25
JRPT,580,580,580,580,580,0
JSKY,1200,1200,1255,1135,1140,60
JSMR,5375,5375,5550,5375,5500,125
JSPT,1015,1065,1065,1065,1065,50
JTPE,840,840,840,815,815,25
KAEF,3390,3390,3450,3390,3390,0
KARW,70,70,72,70,70,0
KBLI,510,505,580,505,575,65
KBLM,236,234,246,234,236,0
KBLV,418,420,420,390,392,26
KBRI,50,50,50,50,50,0
KDSI,940,935,960,935,960,20
KIAS,100,100,100,100,100,0
KICI,268,266,266,266,266,2
KIJA,264,266,274,260,264,0
KINO,2590,2600,2600,2500,2570,20
KIOS,580,580,580,580,580,0
KKGI,210,210,220,200,200,10
KLBF,1360,1365,1365,1320,1355,5
KMTR,312,312,316,308,314,2
KOBX,168,163,170,163,165,3
KOIN,232,230,230,210,210,22
KONI,298,298,370,298,356,58
KOPI,650,650,655,650,655,5
KPAL,125,129,165,129,164,39
KPAS,123,123,129,123,128,5
KPIG,133,133,133,133,133,0
KRAH,2280,2280,2290,2280,2290,10
KRAS,396,396,396,388,390,6
KREN,585,585,595,570,590,5
LAND,980,980,1000,950,1000,20
LAPD,50,50,50,50,50,0
LCGP,114,114,114,114,114,0
LCKM,328,328,328,328,328,0
LEAD,61,62,62,58,59,2
LINK,4460,4480,4480,4300,4350,110
LION,595,555,555,555,555,40
LMAS,59,59,60,58,59,0
LMPI,148,146,146,146,146,2
LMSH,590,590,590,590,590,0
LPCK,1665,1665,1665,1555,1570,95
LPGI,3600,3600,3600,3600,3600,0
LPIN,278,278,278,270,276,2
LPKR,324,324,326,316,318,6
LPLI,144,144,144,144,144,0
LPPF,3720,3720,3770,3710,3750,30
LPPS,102,102,102,101,102,0
LRNA,155,155,157,155,157,2
LSIP,1165,1140,1155,1130,1135,30
LTLS,605,610,620,600,610,5
LUCK,1095,1130,1160,1075,1090,5
MABA,50,50,50,50,50,0
MAGP,50,50,50,50,50,0
MAIN,1025,1025,1055,1025,1035,10
MAMI,127,127,129,124,126,1
MAMIP,600,600,600,600,600,0
MAPA,5600,5525,5600,5500,5600,0
MAPB,1775,1800,1840,1775,1840,65
MAPI,840,840,880,840,880,40
MARI,242,242,242,240,242,0
MARK,494,496,498,494,496,2
MASA,670,645,665,640,665,5
MAYA,7000,7000,7000,7000,7000,0
MBAP,2420,2480,2480,2370,2460,40
MBSS,635,635,645,615,620,15
MBTO,132,135,145,125,140,8
MCAS,3550,3550,3560,3490,3500,50
MCOR,152,149,152,147,152,0
MDIA,121,121,137,117,134,13
MDKA,3950,3950,4030,3920,4000,50
MDKI,222,222,222,222,222,0
MDLN,252,252,252,240,240,12
MDRN,50,50,50,50,50,0
MEDC,775,780,790,775,785,10
MEGA,5950,5950,5950,5950,5950,0
MERK,3990,4000,4000,3980,3980,10
META,197,193,199,192,198,1
MFIN,1050,1050,1050,1050,1050,0
MFMI,480,480,480,480,480,0
MGNA,50,50,50,50,50,0
MGRO,815,815,825,805,820,5
MICE,436,436,436,420,436,0
MIDI,1200,1200,1200,1200,1200,0
MIKA,1855,1855,1930,1855,1895,40
MINA,1480,1480,1550,1400,1420,60
MIRA,50,50,50,50,50,0
MITI,51,51,51,51,51,0
MKNT,82,80,110,80,110,28
MKPI,16725,16725,16725,16725,16725,0
MLBI,20250,20250,20250,20250,20250,0
